Company,Product,Size,Currency,Prices,Price_Category
Galaxy,Chocolate With Caramel,40G,SAR,3.1,Low Price
Galaxy,Smooth Milk Chocolate,90G,SAR,6.5,Medium Price
Almarai,Strawberry Flavored Long Life Milk,200 Ml,SAR,1.6,Low Price
Hershey's,Milk Chocolate,1.55Z,SAR,8.5,Medium Price
Doritos,Spicy Sweet Chili,3.25Z,SAR,7.95,Medium Price
Farm,Pure ghee,400G,SAR,20.95,High Price
Foster Clark's,Baking Powder,110G,SAR,3.7,Low Price
Freshly,Balsamic Grape Vinegar Of Modena,250 Ml,SAR,9.5,Medium Price
Nature Valley,Singles Oats & Honey Bars,21G,SAR,1.0,Low Price
Zanjbila,Natural Ginger Drink,400 Ml,SAR,3.0,Low Price
Eti Adicto,Classic Brownie Cake,200G,SAR,8.75,Medium Price
Nature Valley,Singles Oats & Chocolate Bars,21G,SAR,1.0,Low Price
Al Safi,Safio Cornflakes Milk,200 Ml,SAR,1.75,Low Price
Al Safi,Safio Cookies Milk,200 Ml,SAR,1.75,Low Price
Al Shifa,Black Forest Honey,250G,SAR,48.25,High Price
Al Shifa,Natural Honey,250G,SAR,21.75,High Price
Almarai,Mixed Fruit Juice,200Ml,SAR,1.05,Low Price
Almarai,Pure Butter Ghee,400G,SAR,20.95,High Price
